cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2013,ACA_hi,UM,f,29.965263157894736,868.5,96,52,-0.1927447611160907,0.1758378849090233,0.8246924408564932,870.0,936.0,7.586206896551724,C2013|UM,C2013|UM|f
C2013,ACA_hi,UT,m,41.57549019607843,807.0,102,60,-0.7598168982485025,0.1707584498081549,0.4677520653918409,807.0,964.0,19.454770755886,C2013|UT,C2013|UT|m
C2013,ACA_hi,UT,f,32.192708333333336,897.0,96,52,-0.3980253067964953,0.1800933650376173,0.6716450302628378,899.0,915.0,1.7797552836484982,C2013|UT,C2013|UT|f
C2013,ACA_lo,TJL,m,43.39795918367347,783.0,102,54,-0.5991159424253804,0.1870410299019484,0.5492970317051744,806.0,894.0,10.918114143920596,C2013|TJL,C2013|TJL|m
C2013,ACA_lo,TJL,f,32.40217391304348,889.5,96,48,-0.1656720547418201,0.1816336588420312,0.8473240645394441,891.0,890.0,-0.1122334455667789,C2013|TJL,C2013|TJL|f
C2013,ACA_lo,UM,m,38.45533980582525,796.0,108,54,-0.2411556760342385,0.1907348242485128,0.7857192992023625,921.0,918.0,-0.3257328990228013,C2013|UM,C2013|UM|m
C2013,ACA_lo,UM,f,29.965263157894736,868.5,96,44,-0.1284955505267674,0.1859175907666908,0.8794174753542274,870.0,871.0,0.11494252873563218,C2013|UM,C2013|UM|f
C2013,ACA_lo,UT,m,41.57549019607843,807.0,102,57,-0.588041768518072,0.174216118682549,0.5554138494001154,807.0,919.0,13.878562577447337,C2013|UT,C2013|UT|m
C2013,ACA_lo,UT,f,32.192708333333336,897.0,96,48,-0.4002207703854422,0.1838091658839037,0.6701720755550574,899.0,920.0,2.335928809788654,C2013|UT,C2013|UT|f
C2013,ACA_mid,TJL,m,43.39795918367347,783.0,102,54,-0.7130348885303271,0.1773482290626385,0.4901543739926744,806.0,967.0,19.975186104218363,C2013|TJL,C2013|TJL|m
C2013,ACA_mid,TJL,f,32.40217391304348,889.5,96,48,-0.198641749065264,0.1791531288921193,0.8198435504466018,891.0,943.0,5.836139169472503,C2013|TJL,C2013|TJL|f
C2013,ACA_mid,UM,m,38.45533980582525,796.0,108,54,-0.5028269504851541,0.1836780962576959,0.6048184488778052,921.0,1023.0,11.074918566775244,C2013|UM,C2013|UM|m
C2013,ACA_mid,UM,f,29.965263157894736,868.5,96,48,-0.3441767594873273,0.1846506650440752,0.7088036292098427,870.0,897.0,3.103448275862069,C2013|UM,C2013|UM|f
C2013,ACA_mid,UT,m,41.57549019607843,807.0,102,54,-0.5479931967446579,0.1776530551819418,0.5781087976789071,807.0,913.0,13.135068153655514,C2013|UT,C2013|UT|m
