cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2014,Inu,11.0,18,True,170,1.3830656245546007,3.095757547065011,0.060679253252891606
C2014,Inu,11.0,24,True,139,0.35494634221421173,0.8361897456313412,0.7042261417490043
C2014,TM,11.0,6,False,191,-0.09318802525899568,-0.24366101450000052,0.8744011898750151
C2014,TM,11.0,12,True,184,1.374619237292402,3.1956264318893775,0.02345566061590235
C2014,TM,11.0,18,True,169,1.9313475855123818,4.3229936148410895,0.007717552920553696
C2014,TM,11.0,24,True,136,0.5790165098337352,1.3640587618227114,0.49483540132977744
C2015,DMAG,6.0,6,True,193,-0.06418485581212664,-0.180495954113844,0.5764462673432618
C2015,DMAG,6.0,12,True,178,0.20260029085104198,0.476954879447849,0.3242358982274091
C2015,DMAG,6.0,18,True,169,0.04539772282954193,0.10144344167019514,0.7210462124388389
C2015,DMAG,6.0,24,True,115,-0.27676350741167743,-0.6848637810579787,0.7685039752743368
C2015,Min,6.0,6,True,196,-0.19785199008329638,-0.5563848866146444,0.7678443229891851
C2015,Min,6.0,12,True,180,-0.5720967038577054,-1.3468110695930933,0.8074142390421385
C2015,Min,6.0,18,True,168,-1.391265160579764,-3.1088503424494798,0.1093364535985675
C2015,Min,6.0,24,True,114,-0.3559257328698762,-0.8807542781516672,0.7236977827005678
C2015,MitoQ,7.0,6,False,189,0.22770423531168693,0.6403331858943132,0.5672959465555845
C2015,MitoQ,7.0,12,True,182,0.2300259220839342,0.5415193901083133,0.45187362221239286
C2015,MitoQ,7.0,18,True,170,-0.893405270987039,-1.9963579634933213,0.3304574842587886
C2015,MitoQ,7.0,24,True,113,-0.419275686126213,-1.0375165945521654,0.6589208300023444
C2015,bGPA,6.0,6,True,191,-0.21611612190750534,-0.6077459414609931,0.9879189849086614
C2015,bGPA,6.0,12,True,181,-2.9687046870479983,-6.988826028726108,0.0005553060636533712
C2015,bGPA,6.0,18,True,167,-4.421181713251461,-9.879347713663362,1.923098388114449e-07
C2015,bGPA,6.0,24,True,110,-5.00022565372764,-12.373283889126371,9.846383517807329e-07
C2015,rapa_hi_continuous,20.0,6,False,189,-0.6297829359919581,-1.7710294816150352,0.5158165529766864
C2015,rapa_hi_continuous,20.0,12,False,180,-0.5610492199558457,-1.3208034497102197,0.5931269504310911
C2015,rapa_hi_continuous,20.0,18,False,174,-0.2566758995551646,-0.5735549058801094,0.9316920430827623
C2015,rapa_hi_continuous,20.0,24,True,132,-4.4800254056434525,-11.086024914335667,4.116662042431451e-08
C2015,rapa_hi_cycle,20.0,6,False,188,-0.4891061902985971,-1.375428632874693,0.7667513243497286
C2015,rapa_hi_cycle,20.0,12,False,178,-0.9945558039646762,-2.341350259624719,0.26027008903671434
C2015,rapa_hi_cycle,20.0,18,False,159,-0.4454968823686164,-0.9954846671605738,0.6720831949650959
C2015,rapa_hi_cycle,20.0,24,True,122,-3.182729878600016,-7.875808624949661,0.00028626828974960593
C2015,rapa_hi_start_stop,20.0,6,False,181,-0.8024137969386791,-2.256489354692848,0.24630941323236885
C2015,rapa_hi_start_stop,20.0,12,False,172,0.2232321942715351,0.5255258216087169,0.5538534225939897
C2015,rapa_hi_start_stop,20.0,18,False,162,-0.15815759189509362,-0.353410908039379,0.9619516967582958
C2015,rapa_hi_start_stop,20.0,24,True,121,-3.8666665647301732,-9.568240800159188,1.7871217610155815e-05
C2016,17aE2_16m,16.0,6,False,156,0.3177738927739,0.840101901064338,1.9730722140955078e-18
C2016,17aE2_16m,16.0,12,False,147,-3.5744738044471522,-8.11942267425762,0.5163044750650662
C2016,17aE2_16m,16.0,18,True,137,-10.025384870603837,-21.719426659831477,3.0703839836506293e-53
C2016,17aE2_16m,16.0,24,True,120,-7.694074074074073,-17.373285586047395,5.404282187791814e-36
C2016,17aE2_20m,20.0,6,False,153,0.7237945061474491,1.9135025073536756,5.5925674258973746e-24
C2016,17aE2_20m,20.0,12,False,141,-3.7468431777283797,-8.510959967390374,0.344222065436017
C2016,17aE2_20m,20.0,18,False,126,-1.9600216450216335,-4.246275521606539,0.07166413481040335
C2016,17aE2_20m,20.0,24,True,102,-7.661328976034859,-17.299346872395635,5.060636223192749e-31
C2016,CC,8.0,6,False,285,-0.15992711821789338,-0.42280086282037216,0.7750234788661362
C2016,CC,8.0,12,True,271,-1.7926799988545812,-4.0720753393908975,0.007184152826321641
C2016,CC,8.0,18,True,260,-1.7640617068117042,-3.821739450308628,0.00998752297365578
C2016,CC,8.0,24,True,203,-2.422983139616,-5.4711168165861945,0.0010336766254840032
C2016,Cana,7.0,6,False,287,-0.02784361255744747,-0.07361042670252907,0.5580579347158683
C2016,Cana,7.0,12,True,277,-5.272776320879506,-11.977119419024323,6.5776692488277566e-18
