cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2013,ACA_lo,TJL,f,32.40217391304348,889.5,96,48,-0.16567205474182015,0.18163365884203128,0.8473240645394441
C2013,ACA_lo,UM,m,38.45533980582525,796.0,108,54,-0.2411556760342385,0.1907348242485128,0.7857192992023625
C2013,ACA_lo,UM,f,29.965263157894736,868.5,96,44,-0.12849555052676748,0.1859175907666908,0.8794174753542274
C2013,ACA_lo,UT,m,41.57549019607843,807.0,102,57,-0.588041768518072,0.17421611868254902,0.5554138494001154
C2013,ACA_lo,UT,f,32.192708333333336,897.0,96,48,-0.4002207703854422,0.18380916588390378,0.6701720755550574
C2013,ACA_mid,TJL,m,43.39795918367347,783.0,102,54,-0.7130348885303271,0.17734822906263856,0.4901543739926744
C2013,ACA_mid,TJL,f,32.40217391304348,889.5,96,48,-0.19864174906526408,0.1791531288921193,0.8198435504466018
C2013,ACA_mid,UM,m,38.45533980582525,796.0,108,54,-0.5028269504851541,0.1836780962576959,0.6048184488778052
C2013,ACA_mid,UM,f,29.965263157894736,868.5,96,48,-0.3441767594873273,0.18465066504407526,0.7088036292098427
C2013,ACA_mid,UT,m,41.57549019607843,807.0,102,54,-0.5479931967446579,0.1776530551819418,0.5781087976789071
C2013,ACA_mid,UT,f,32.192708333333336,897.0,96,48,-0.4153449874949523,0.18012213657034953,0.6601125108568601
C2013,UA,TJL,m,43.39795918367347,783.0,102,54,-0.2736606522419358,0.17422302914055507,0.7605901360297014
C2013,UA,TJL,f,32.40217391304348,889.5,96,48,0.15521516891577536,0.17959521980224624,1.1679092318344684
C2013,UA,UM,m,38.45533980582525,796.0,108,60,-0.0007808461849229103,0.1897355124876193,0.9992194585961252
C2013,UA,UM,f,29.965263157894736,868.5,96,52,-0.0004169387052196724,0.17450798777191268,0.9995831482016436
C2013,UA,UT,m,41.57549019607843,807.0,102,54,0.007106420587868706,0.17243382593744344,1.007131731114882
C2013,UA,UT,f,32.192708333333336,897.0,96,48,-0.3596716424495007,0.18347915917333074,0.6979054509758887
C2014,Asp_200,TJL,m,43.96774193548387,846.5,102,54,-0.046556493018723326,0.1796345559330693,0.9545106358595766
C2014,Asp_200,TJL,f,31.229166666666668,903.5,96,48,-0.24225508925415387,0.17916726734419072,0.7848559436968671
C2014,Asp_200,UT,m,43.3894735263158,731.0,99,51,-0.2525166689473332,0.17754426440614032,0.7768432635719417
C2014,Asp_200,UT,f,34.46847820652174,881.5,92,44,0.42003461519154356,0.1923614838702086,1.52201423952123
C2014,Asp_60,TJL,m,43.96774193548387,846.5,102,54,-0.08359205529287667,0.17268337828784497,0.9198064097253786
C2014,Asp_60,TJL,f,31.229166666666668,903.5,96,48,-0.06328577710911437,0.17872434160706663,0.9386751834750273
C2014,Asp_60,UT,m,43.3894735263158,731.0,99,51,0.05073787587594825,0.17874120622659123,1.0520470902154804
C2014,Asp_60,UT,f,34.46847820652174,881.5,92,44,0.29545837434820327,0.18546383967379823,1.3437421544772095
C2014,Gly,TJL,m,43.96774193548387,846.5,102,54,-0.17591042457293693,0.17340316132847025,0.8386931062656081
C2014,Gly,TJL,f,31.229166666666668,903.5,96,48,-0.45302433738774933,0.1813706114935405,0.635702662095966
C2014,Gly,UT,m,43.3894735263158,731.0,99,51,-0.4839152926187017,0.17980687485707555,0.6163654104008741
C2014,Gly,UT,f,34.46847820652174,881.5,92,44,-0.05035443712342785,0.19068081770436893,0.9508923332221345
C2014,Inu,TJL,m,43.96774193548387,846.5,102,54,0.125903615471394,0.17637057743826115,1.1341728462994873
C2014,Inu,TJL,f,31.229166666666668,903.5,96,48,-0.15773430038102657,0.17949083504201002,0.8540766796721931
C2014,Inu,UT,m,43.3894735263158,731.0,99,51,-0.10096451237129674,0.17583067610419198,0.9039651118949084
C2014,Inu,UT,f,34.46847820652174,881.5,92,44,0.004232977662819522,0.18450044954745629,1.004241949367308
C2014,TM,TJL,m,43.96774193548387,846.5,102,54,0.11505583833650247,0.18036895543045708,1.121936082867447
C2014,TM,TJL,f,31.229166666666668,903.5,96,48,-0.008333344225228165,0.17951298580825548,0.9917012818373698
C2014,TM,UT,m,43.3894735263158,731.0,99,51,-0.3079134682686784,0.17654543885987453,0.7349789142554178
C2014,TM,UT,f,34.46847820652174,881.5,92,44,0.09950567394849706,0.18515068645902874,1.104624738306046
