population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,Tx,entry,mean,std,weight_42d_z,arm,positive_m,positive_f,mouse
UM-HET3,C2004,UM,m,UM01218,Control,0,,dead,1,1115,,,19.700001,29.0,32.5,,,0,121.75,21.1257144,2.399558276603475,-0.5941566053640785,C2004|Aspirin,True,False,C2004|UM01218
UM-HET3,C2004,UM,m,UM01351,Control,0,,dead,1,949,,,23.4,36.299999,47.299999,,,0,121.75,21.1257144,2.399558276603475,0.947793442724468,C2004|Aspirin,True,False,C2004|UM01351
UM-HET3,C2004,UM,m,UM01365,Control,0,,dead,1,1047,,,22.0,40.5,45.799999,,,0,121.75,21.1257144,2.399558276603475,0.3643527263015814,C2004|Aspirin,True,False,C2004|UM01365
UM-HET3,C2004,UM,m,UM01470,Control,0,,dead,1,1043,,,25.4,42.099998,48.900002,,,0,121.75,21.1257144,2.399558276603475,1.7812801804714498,C2004|Aspirin,True,False,C2004|UM01470
UM-HET3,C2004,UM,m,UM01477,Control,0,,dead,1,1176,,,21.9,30.9,36.0,,,0,121.75,21.1257144,2.399558276603475,0.3226783894142317,C2004|Aspirin,True,False,C2004|UM01477
UM-HET3,C2004,UM,m,UM01484,Control,0,,dead,1,1053,,,24.4,39.400002,45.700001,,,0,121.75,21.1257144,2.399558276603475,1.3645368115979588,C2004|Aspirin,True,False,C2004|UM01484
UM-HET3,C2004,UM,m,UM01519,Control,0,,dead,1,983,,,25.700001,37.900002,47.299999,,,0,121.75,21.1257144,2.399558276603475,1.9063036078768665,C2004|Aspirin,True,False,C2004|UM01519
UM-HET3,C2004,UM,m,UM01526,Control,0,,dead,1,995,,,21.700001,39.700001,49.299999,,,0,121.75,21.1257144,2.399558276603475,0.23933013238290315,C2004|Aspirin,True,False,C2004|UM01526
UM-HET3,C2004,UM,m,UM01533,Control,0,,dead,1,995,,,23.5,41.200001,48.400002,,,0,121.75,21.1257144,2.399558276603475,0.9894677796118176,C2004|Aspirin,True,False,C2004|UM01533
UM-HET3,C2004,UM,m,UM01995,Control,0,,dead,1,1111,,,18.200001,30.200001,35.900002,,,0,121.75,21.1257144,2.399558276603475,-1.2192716586743149,C2004|Aspirin,True,False,C2004|UM01995
